Name,ActiveCases,Recovered,Death,Total cases,Date
Andhra Pradesh,3,0,0,3,3/21/2020
Chandigarh,1,0,0,1,3/21/2020
Chhattisgarh,1,0,0,1,3/21/2020
Delhi,20,5,1,26,3/21/2020
Gujarat,7,0,0,7,3/21/2020
Haryana,17,0,0,17,3/21/2020
Himachal Pradesh,2,0,0,2,3/21/2020
Jammu and Kashmir,4,0,0,4,3/21/2020
Karnataka,13,1,1,15,3/21/2020
Kerala,37,3,0,40,3/21/2020
Ladakh,13,0,0,13,3/21/2020
Madhya Pradesh,4,0,0,4,3/21/2020
Maharashtra,62,0,1,63,3/21/2020
Odisha,2,0,0,2,3/21/2020
Puducherry,1,0,0,1,3/21/2020
Punjab,12,0,1,13,3/21/2020
Rajasthan,14,3,0,17,3/21/2020
Tamil Nadu,2,1,0,3,3/21/2020
Telangana,20,1,0,21,3/21/2020
Uttar Pradesh,15,9,0,24,3/21/2020
Uttarakhand,3,0,0,3,3/21/2020
West Bengal,3,0,0,3,3/21/2020
Andhra Pradesh,3,0,0,3,3/22/2020
Chandigarh,5,0,0,5,3/22/2020
Chhattisgarh,1,0,0,1,3/22/2020
Delhi,21,5,1,27,3/22/2020
Gujarat,14,0,0,14,3/22/2020
Haryana,17,0,0,17,3/22/2020
Himachal Pradesh,2,0,0,2,3/22/2020
Jammu and Kashmir,4,0,0,4,3/22/2020
Karnataka,17,2,1,20,3/22/2020
Kerala,49,3,0,52,3/22/2020
Ladakh,13,0,0,13,3/22/2020
Madhya Pradesh,4,0,0,4,3/22/2020
Maharashtra,61,0,2,63,3/22/2020
Odisha,2,0,0,2,3/22/2020
Puducherry,1,0,0,1,3/22/2020
Punjab,12,0,1,13,3/22/2020
Rajasthan,21,3,0,24,3/22/2020
Tamil Nadu,5,1,0,6,3/22/2020
Telangana,20,1,0,21,3/22/2020
Uttar Pradesh,16,9,0,25,3/22/2020
Uttarakhand,3,0,0,3,3/22/2020
West Bengal,4,0,0,4,3/22/2020
Andhra Pradesh,7,0,0,7,3/23/2020
Bihar,1,0,1,2,3/23/2020
Chandigarh,6,0,0,6,3/23/2020
Chhattisgarh,1,0,0,1,3/23/2020
Delhi,23,5,1,29,3/23/2020
Gujarat,28,0,1,29,3/23/2020
Haryana,15,11,0,26,3/23/2020
Himachal Pradesh,2,0,1,3,3/23/2020
Jammu and Kashmir,4,0,0,4,3/23/2020
Karnataka,30,2,1,33,3/23/2020
Kerala,64,3,0,67,3/23/2020
Ladakh,13,0,0,13,3/23/2020
Madhya Pradesh,6,0,0,6,3/23/2020
Maharashtra,72,0,2,74,3/23/2020
Odisha,2,0,0,2,3/23/2020
Puducherry,1,0,0,1,3/23/2020
Punjab,20,0,1,21,3/23/2020
Rajasthan,25,3,0,28,3/23/2020
Tamil Nadu,8,1,0,9,3/23/2020
Telangana,31,1,0,32,3/23/2020
Uttar Pradesh,22,9,0,31,3/23/2020
Uttarakhand,3,0,0,3,3/23/2020
West Bengal,6,0,1,7,3/23/2020
Andhra Pradesh,8,0,0,8,3/24/2020
Bihar,2,0,1,3,3/24/2020
Chandigarh,7,0,0,7,3/24/2020
Chhattisgarh,1,0,0,1,3/24/2020
Delhi,22,6,2,30,3/24/2020
Gujarat,32,0,1,33,3/24/2020
Haryana,17,11,0,28,3/24/2020
Himachal Pradesh,2,0,1,3,3/24/2020
Jammu and Kashmir,4,0,0,4,3/24/2020
Karnataka,33,3,1,37,3/24/2020
Kerala,91,4,0,95,3/24/2020
Ladakh,13,0,0,13,3/24/2020
Madhya Pradesh,7,0,0,7,3/24/2020
Maharashtra,87,0,2,89,3/24/2020
Manipur,1,0,0,1,3/24/2020
Odisha,2,0,0,2,3/24/2020
Puducherry,1,0,0,1,3/24/2020
Punjab,28,0,1,29,3/24/2020
Rajasthan,29,3,0,32,3/24/2020
Tamil Nadu,14,1,0,15,3/24/2020
Telangana,34,1,0,35,3/24/2020
Uttar Pradesh,22,11,0,33,3/24/2020
Uttarakhand,4,0,0,4,3/24/2020
West Bengal,8,0,1,9,3/24/2020
Andhra Pradesh,8,1,0,9,3/25/2020
Bihar,3,0,1,4,3/25/2020
Chandigarh,7,0,0,7,3/25/2020
Chhattisgarh,1,0,0,1,3/25/2020
Delhi,24,6,1,31,3/25/2020
Gujarat,37,0,1,38,3/25/2020
Haryana,17,11,0,28,3/25/2020
Himachal Pradesh,2,0,1,3,3/25/2020
Jammu and Kashmir,6,1,0,7,3/25/2020
Karnataka,37,3,1,41,3/25/2020
Kerala,105,4,0,109,3/25/2020
Ladakh,13,0,0,13,3/25/2020
Madhya Pradesh,14,0,0,14,3/25/2020
Maharashtra,124,1,3,128,3/25/2020
Manipur,1,0,0,1,3/25/2020
Mizoram,1,0,0,1,3/25/2020
Odisha,2,0,0,2,3/25/2020
Puducherry,1,0,0,1,3/25/2020
Punjab,28,0,1,29,3/25/2020
Rajasthan,33,3,0,36,3/25/2020
Tamil Nadu,17,1,0,18,3/25/2020
Telangana,34,1,0,35,3/25/2020
Uttar Pradesh,26,11,0,37,3/25/2020
Uttarakhand,4,0,0,4,3/25/2020
West Bengal,8,0,1,9,3/25/2020
Andhra Pradesh,10,1,0,11,3/26/2020
Bihar,2,0,1,3,3/26/2020
Chandigarh,7,0,0,7,3/26/2020
Chhattisgarh,3,0,0,3,3/26/2020
Delhi,28,6,1,35,3/26/2020
Goa,3,0,0,3,3/26/2020
Gujarat,36,0,2,38,3/26/2020
Haryana,19,11,0,30,3/26/2020
Himachal Pradesh,2,0,1,3,3/26/2020
Jammu and Kashmir,10,1,0,11,3/26/2020
Karnataka,37,3,1,41,3/26/2020
Kerala,114,4,0,118,3/26/2020
Ladakh,13,0,0,13,3/26/2020
Madhya Pradesh,14,0,1,15,3/26/2020
Maharashtra,120,1,3,124,3/26/2020
Manipur,1,0,0,1,3/26/2020
Mizoram,1,0,0,1,3/26/2020
Odisha,2,0,0,2,3/26/2020
Puducherry,1,0,0,1,3/26/2020
Punjab,32,0,1,33,3/26/2020
Rajasthan,35,3,0,38,3/26/2020
Tamil Nadu,24,1,1,26,3/26/2020
Telangana,40,1,0,41,3/26/2020
Uttar Pradesh,26,11,0,37,3/26/2020
Uttarakhand,5,0,0,5,3/26/2020
West Bengal,8,0,1,9,3/26/2020
Andaman and Nicobar Islands,1,0,0,1,3/27/2020
Andhra Pradesh,11,1,0,12,3/27/2020
Bihar,5,0,1,6,3/27/2020
Chandigarh,7,0,0,7,3/27/2020
Chhattisgarh,6,0,0,6,3/27/2020
Delhi,29,6,1,36,3/27/2020
Goa,3,0,0,3,3/27/2020
Gujarat,40,0,3,43,3/27/2020
Haryana,19,11,0,30,3/27/2020
Himachal Pradesh,2,0,1,3,3/27/2020
Jammu and Kashmir,11,1,1,13,3/27/2020
Karnataka,50,3,2,55,3/27/2020
Kerala,126,11,0,137,3/27/2020
Ladakh,10,3,0,13,3/27/2020
Madhya Pradesh,19,0,1,20,3/27/2020
Maharashtra,111,15,4,130,3/27/2020
Manipur,1,0,0,1,3/27/2020
Mizoram,1,0,0,1,3/27/2020
Odisha,2,0,0,2,3/27/2020
Puducherry,1,0,0,1,3/27/2020
Punjab,32,0,1,33,3/27/2020
Rajasthan,38,3,0,41,3/27/2020
Tamil Nadu,27,1,1,29,3/27/2020
Telangana,44,1,0,45,3/27/2020
Uttar Pradesh,30,11,0,41,3/27/2020
Uttarakhand,5,0,0,5,3/27/2020
West Bengal,9,0,1,10,3/27/2020
Andaman and Nicobar Islands,6,0,0,6,3/28/2020
Andhra Pradesh,13,1,0,14,3/28/2020
Bihar,8,0,1,9,3/28/2020
Chandigarh,8,0,0,8,3/28/2020
Chhattisgarh,6,0,0,6,3/28/2020
Delhi,32,6,1,39,3/28/2020
Goa,3,0,0,3,3/28/2020
Gujarat,42,0,3,45,3/28/2020
Haryana,21,12,0,33,3/28/2020
Himachal Pradesh,2,0,1,3,3/28/2020
Jammu and Kashmir,18,1,1,20,3/28/2020
Karnataka,50,3,2,55,3/28/2020
Kerala,165,11,0,176,3/28/2020
Ladakh,10,3,0,13,3/28/2020
Madhya Pradesh,28,0,2,30,3/28/2020
Maharashtra,150,25,5,180,3/28/2020
Manipur,1,0,0,1,3/28/2020
Mizoram,1,0,0,1,3/28/2020
Odisha,3,0,0,3,3/28/2020
Puducherry,1,0,0,1,3/28/2020
Punjab,36,1,1,38,3/28/2020
Rajasthan,51,3,0,54,3/28/2020
Tamil Nadu,37,2,1,40,3/28/2020
Telangana,55,1,0,56,3/28/2020
Uttar Pradesh,44,11,0,55,3/28/2020
Uttarakhand,5,0,0,5,3/28/2020
West Bengal,14,0,1,15,3/28/2020
Andaman and Nicobar Islands,9,0,0,9,3/29/2020
Andhra Pradesh,18,1,0,19,3/29/2020
Bihar,10,0,1,11,3/29/2020
Chandigarh,8,0,0,8,3/29/2020
Chhattisgarh,7,0,0,7,3/29/2020
Delhi,41,6,2,49,3/29/2020
Goa,5,0,0,5,3/29/2020
Gujarat,52,1,5,58,3/29/2020
Haryana,16,17,0,33,3/29/2020
Himachal Pradesh,2,0,1,3,3/29/2020
Jammu and Kashmir,28,1,2,31,3/29/2020
Karnataka,68,5,3,76,3/29/2020
Kerala,166,15,1,182,3/29/2020
Ladakh,10,3,0,13,3/29/2020
Madhya Pradesh,28,0,2,30,3/29/2020
Maharashtra,155,25,6,186,3/29/2020
Manipur,1,0,0,1,3/29/2020
Mizoram,1,0,0,1,3/29/2020
Odisha,3,0,0,3,3/29/2020
Puducherry,1,0,0,1,3/29/2020
Punjab,36,1,1,38,3/29/2020
Rajasthan,52,3,0,55,3/29/2020
Tamil Nadu,44,4,1,49,3/29/2020
Telangana,64,1,1,66,3/29/2020
Uttar Pradesh,54,11,0,65,3/29/2020
Uttarakhand,5,2,0,7,3/29/2020
West Bengal,17,0,1,18,3/29/2020
Andaman and Nicobar Islands,9,0,0,9,3/30/2020
Andhra Pradesh,18,1,0,19,3/30/2020
Bihar,10,0,1,11,3/30/2020
Chandigarh,8,0,0,8,3/30/2020
Chhattisgarh,7,0,0,7,3/30/2020
Delhi,45,6,2,53,3/30/2020
Goa,5,0,0,5,3/30/2020
Gujarat,52,1,5,58,3/30/2020
Haryana,16,17,0,33,3/30/2020
Himachal Pradesh,2,0,1,3,3/30/2020
Jammu and Kashmir,28,1,2,31,3/30/2020
Karnataka,72,5,3,80,3/30/2020
Kerala,174,19,1,194,3/30/2020
Ladakh,10,3,0,13,3/30/2020
Madhya Pradesh,31,0,2,33,3/30/2020
Maharashtra,160,25,8,193,3/30/2020
Manipur,1,0,0,1,3/30/2020
Mizoram,1,0,0,1,3/30/2020
Odisha,3,0,0,3,3/30/2020
Puducherry,1,0,0,1,3/30/2020
Punjab,36,1,1,38,3/30/2020
Rajasthan,54,3,0,57,3/30/2020
Tamil Nadu,45,4,1,50,3/30/2020
Telangana,67,1,1,69,3/30/2020
Uttar Pradesh,64,11,0,75,3/30/2020
Uttarakhand,5,2,0,7,3/30/2020
West Bengal,18,0,1,19,3/30/2020
Andaman and Nicobar Islands,10,0,0,10,3/31/2020
Andhra Pradesh,39,1,0,40,3/31/2020
Bihar,14,0,1,15,3/31/2020
Chandigarh,13,0,0,13,3/31/2020
Chhattisgarh,8,0,0,8,3/31/2020
Delhi,89,6,2,97,3/31/2020
Goa,5,0,0,5,3/31/2020
Gujarat,64,3,6,73,3/31/2020
Haryana,19,21,0,40,3/31/2020
Himachal Pradesh,2,0,1,3,3/31/2020
Jammu and Kashmir,50,2,2,54,3/31/2020
Karnataka,75,5,3,83,3/31/2020
Kerala,214,19,1,234,3/31/2020
Ladakh,10,3,0,13,3/31/2020
Madhya Pradesh,44,0,3,47,3/31/2020
Maharashtra,168,39,9,216,3/31/2020
Manipur,1,0,0,1,3/31/2020
Mizoram,1,0,0,1,3/31/2020
Odisha,3,0,0,3,3/31/2020
Puducherry,1,0,0,1,3/31/2020
Punjab,37,1,3,41,3/31/2020
Rajasthan,71,3,0,74,3/31/2020
Tamil Nadu,69,4,1,74,3/31/2020
Telangana,77,1,1,79,3/31/2020
Uttar Pradesh,87,14,0,101,3/31/2020
Uttarakhand,5,2,0,7,3/31/2020
West Bengal,24,0,2,26,3/31/2020
Andaman and Nicobar Islands,10,0,0,10,4/1/2020
Andhra Pradesh,82,1,0,83,4/1/2020
Bihar,22,0,1,23,4/1/2020
Chandigarh,13,0,0,13,4/1/2020
Chhattisgarh,9,0,0,9,4/1/2020
Delhi,112,6,2,120,4/1/2020
Goa,5,0,0,5,4/1/2020
Gujarat,63,5,6,74,4/1/2020
Haryana,22,21,0,43,4/1/2020
Himachal Pradesh,2,0,1,3,4/1/2020
Jammu and Kashmir,51,2,2,55,4/1/2020
Karnataka,90,8,3,101,4/1/2020
Kerala,216,23,2,241,4/1/2020
Ladakh,10,3,0,13,4/1/2020
Madhya Pradesh,44,0,3,47,4/1/2020
Maharashtra,254,39,9,302,4/1/2020
Manipur,1,0,0,1,4/1/2020
Mizoram,1,0,0,1,4/1/2020
Odisha,4,0,0,4,4/1/2020
Puducherry,1,0,0,1,4/1/2020
Punjab,37,1,3,41,4/1/2020
Rajasthan,90,3,0,93,4/1/2020
Tamil Nadu,119,4,1,124,4/1/2020
Telangana,90,1,3,94,4/1/2020
Uttar Pradesh,89,14,0,103,4/1/2020
Uttarakhand,5,2,0,7,4/1/2020
West Bengal,24,0,2,26,4/1/2020
Andaman and Nicobar Islands,10,0,0,10,4/2/2020
Andhra Pradesh,84,1,1,86,4/2/2020
Assam,5,0,0,5,4/2/2020
Bihar,23,0,1,24,4/2/2020
Chandigarh,16,0,0,16,4/2/2020
Chhattisgarh,7,2,0,9,4/2/2020
Delhi,207,8,4,219,4/2/2020
Goa,5,0,0,5,4/2/2020
Gujarat,72,8,7,87,4/2/2020
Haryana,22,21,0,43,4/2/2020
Himachal Pradesh,1,1,1,3,4/2/2020
Jammu and Kashmir,58,2,2,62,4/2/2020
Jharkhand,1,0,0,1,4/2/2020
Karnataka,98,9,3,110,4/2/2020
Kerala,238,25,2,265,4/2/2020
Ladakh,10,3,0,13,4/2/2020
Madhya Pradesh,93,0,6,99,4/2/2020
Maharashtra,280,42,13,335,4/2/2020
Manipur,1,0,0,1,4/2/2020
Mizoram,1,0,0,1,4/2/2020
Odisha,4,0,0,4,4/2/2020
Puducherry,2,1,0,3,4/2/2020
Punjab,41,1,4,46,4/2/2020
Rajasthan,105,3,0,108,4/2/2020
Tamil Nadu,227,6,1,234,4/2/2020
Telangana,103,1,3,107,4/2/2020
Uttar Pradesh,97,14,2,113,4/2/2020
Uttarakhand,5,2,0,7,4/2/2020
West Bengal,44,6,3,53,4/2/2020
Andaman and Nicobar Islands,10,0,0,10,4/3/2020
Andhra Pradesh,130,1,1,132,4/3/2020
Arunachal Pradesh,1,0,0,1,4/3/2020
Assam,16,0,0,16,4/3/2020
Bihar,28,0,1,29,4/3/2020
Chandigarh,18,0,0,18,4/3/2020
Chhattisgarh,6,3,0,9,4/3/2020
Delhi,207,8,4,219,4/3/2020
Goa,6,0,0,6,4/3/2020
Gujarat,77,10,8,95,4/3/2020
Haryana,25,24,0,49,4/3/2020
Himachal Pradesh,4,1,1,6,4/3/2020
Jammu and Kashmir,70,3,2,75,4/3/2020
Jharkhand,2,0,0,2,4/3/2020
Karnataka,111,10,3,124,4/3/2020
Kerala,257,27,2,286,4/3/2020
Ladakh,11,3,0,14,4/3/2020
Madhya Pradesh,98,0,6,104,4/3/2020
Maharashtra,277,42,16,335,4/3/2020
Manipur,2,0,0,2,4/3/2020
Mizoram,1,0,0,1,4/3/2020
Odisha,5,0,0,5,4/3/2020
Puducherry,4,1,0,5,4/3/2020
Punjab,42,1,5,48,4/3/2020
Rajasthan,164,3,0,167,4/3/2020
Tamil Nadu,302,6,1,309,4/3/2020
Telangana,150,1,7,158,4/3/2020
Uttar Pradesh,156,14,2,172,4/3/2020
Uttarakhand,8,2,0,10,4/3/2020
West Bengal,57,3,3,63,4/3/2020
Andaman and Nicobar Islands,10,0,0,10,4/4/2020
Andhra Pradesh,159,1,1,161,4/4/2020
Arunachal Pradesh,1,0,0,1,4/4/2020
Assam,24,0,0,24,4/4/2020
Bihar,28,0,1,29,4/4/2020
Chandigarh,18,0,0,18,4/4/2020
Chhattisgarh,6,3,0,9,4/4/2020
Delhi,372,8,6,386,4/4/2020
Goa,6,0,0,6,4/4/2020
Gujarat,76,10,9,95,4/4/2020
Haryana,25,24,0,49,4/4/2020
Himachal Pradesh,4,1,1,6,4/4/2020
Jammu and Kashmir,70,3,2,75,4/4/2020
Jharkhand,2,0,0,2,4/4/2020
Karnataka,113,12,3,128,4/4/2020
Kerala,252,41,2,295,4/4/2020
Ladakh,11,3,0,14,4/4/2020
Madhya Pradesh,98,0,6,104,4/4/2020
Maharashtra,362,42,19,423,4/4/2020
Manipur,2,0,0,2,4/4/2020
Mizoram,1,0,0,1,4/4/2020
Odisha,5,0,0,5,4/4/2020
Puducherry,4,1,0,5,4/4/2020
Punjab,47,1,5,53,4/4/2020
Rajasthan,176,3,0,179,4/4/2020
Tamil Nadu,404,6,1,411,4/4/2020
Telangana,150,1,7,158,4/4/2020
Uttar Pradesh,153,19,2,174,4/4/2020
Uttarakhand,14,2,0,16,4/4/2020
West Bengal,57,3,3,63,4/4/2020
Andaman and Nicobar Islands,10,0,0,10,4/5/2020
Andhra Pradesh,188,1,1,190,4/5/2020
Arunachal Pradesh,1,0,0,1,4/5/2020
Assam,26,0,0,26,4/5/2020
Bihar,29,0,1,30,4/5/2020
Chandigarh,18,0,0,18,4/5/2020
Chhattisgarh,6,3,0,9,4/5/2020
Delhi,478,18,7,503,4/5/2020
Goa,7,0,0,7,4/5/2020
Gujarat,93,18,11,122,4/5/2020
Haryana,33,25,1,59,4/5/2020
Himachal Pradesh,4,1,1,6,4/5/2020
Jammu and Kashmir,100,4,2,106,4/5/2020
Jharkhand,3,0,0,3,4/5/2020
Karnataka,128,12,4,144,4/5/2020
Kerala,255,49,2,306,4/5/2020
Ladakh,4,10,0,14,4/5/2020
Madhya Pradesh,156,0,9,165,4/5/2020
Maharashtra,424,42,24,490,4/5/2020
Manipur,2,0,0,2,4/5/2020
Mizoram,1,0,0,1,4/5/2020
Odisha,20,0,0,20,4/5/2020
Puducherry,4,1,0,5,4/5/2020
Punjab,51,1,5,57,4/5/2020
Rajasthan,179,21,0,200,4/5/2020
Tamil Nadu,476,6,3,485,4/5/2020
Telangana,230,32,7,269,4/5/2020
Uttar Pradesh,206,19,2,227,4/5/2020
Uttarakhand,20,2,0,22,4/5/2020
West Bengal,67,10,3,80,4/5/2020
Andaman and Nicobar Islands,10,0,0,10,4/6/2020
Andhra Pradesh,222,1,3,226,4/6/2020
Arunachal Pradesh,1,0,0,1,4/6/2020
Assam,26,0,0,26,4/6/2020
Bihar,31,0,1,32,4/6/2020
Chandigarh,18,0,0,18,4/6/2020
Chhattisgarh,2,8,0,10,4/6/2020
Delhi,497,19,7,523,4/6/2020
Goa,7,0,0,7,4/6/2020
Gujarat,110,22,12,144,4/6/2020
Haryana,58,25,1,84,4/6/2020
Himachal Pradesh,10,2,1,13,4/6/2020
Jammu and Kashmir,103,4,2,109,4/6/2020
Jharkhand,4,0,0,4,4/6/2020
Karnataka,135,12,4,151,4/6/2020
Kerala,257,55,2,314,4/6/2020
Ladakh,4,10,0,14,4/6/2020
Madhya Pradesh,156,0,9,165,4/6/2020
Maharashtra,647,56,45,748,4/6/2020
Manipur,2,0,0,2,4/6/2020
Mizoram,1,0,0,1,4/6/2020
Odisha,19,2,0,21,4/6/2020
Puducherry,4,1,0,5,4/6/2020
Punjab,66,4,6,76,4/6/2020
Rajasthan,253,21,0,274,4/6/2020
Tamil Nadu,558,8,5,571,4/6/2020
Telangana,280,34,7,321,4/6/2020
Uttar Pradesh,281,21,3,305,4/6/2020
Uttarakhand,22,4,0,26,4/6/2020
West Bengal,67,10,3,80,4/6/2020
Andaman and Nicobar Islands,10,0,0,10,4/7/2020
Andhra Pradesh,262,1,3,266,4/7/2020
Arunachal Pradesh,1,0,0,1,4/7/2020
Assam,26,0,0,26,4/7/2020
Bihar,31,0,1,32,4/7/2020
Chandigarh,11,7,0,18,4/7/2020
Chhattisgarh,1,9,0,10,4/7/2020
Delhi,548,21,7,576,4/7/2020
Goa,7,0,0,7,4/7/2020
Gujarat,127,25,13,165,4/7/2020
Haryana,64,25,1,90,4/7/2020
Himachal Pradesh,10,2,1,13,4/7/2020
Jammu and Kashmir,110,4,2,116,4/7/2020
Jharkhand,4,0,0,4,4/7/2020
Karnataka,146,25,4,175,4/7/2020
Kerala,267,58,2,327,4/7/2020
Ladakh,4,10,0,14,4/7/2020
Madhya Pradesh,216,0,13,229,4/7/2020
Maharashtra,764,56,48,868,4/7/2020
Manipur,2,0,0,2,4/7/2020
Mizoram,1,0,0,1,4/7/2020
Odisha,39,2,1,42,4/7/2020
Puducherry,4,1,0,5,4/7/2020
Punjab,80,4,7,91,4/7/2020
Rajasthan,264,21,3,288,4/7/2020
Tamil Nadu,608,8,5,621,4/7/2020
Telangana,322,35,7,364,4/7/2020
Tripura,1,0,0,1,4/7/2020
Uttar Pradesh,281,21,3,305,4/7/2020
Uttarakhand,26,5,0,31,4/7/2020
West Bengal,75,13,3,91,4/7/2020
Andaman and Nicobar Islands,10,0,0,10,4/8/2020
Andhra Pradesh,296,5,4,305,4/8/2020
Arunachal Pradesh,1,0,0,1,4/8/2020
Assam,27,0,0,27,4/8/2020
Bihar,37,0,1,38,4/8/2020
Chandigarh,11,7,0,18,4/8/2020
Chhattisgarh,1,9,0,10,4/8/2020
Delhi,546,21,9,576,4/8/2020
Goa,7,0,0,7,4/8/2020
Gujarat,127,25,13,165,4/8/2020
Haryana,116,28,3,147,4/8/2020
Himachal Pradesh,15,2,1,18,4/8/2020
Jammu and Kashmir,110,4,2,116,4/8/2020
Jharkhand,4,0,0,4,4/8/2020
Karnataka,146,25,4,175,4/8/2020
Kerala,264,70,2,336,4/8/2020
Ladakh,4,10,0,14,4/8/2020
Madhya Pradesh,216,0,13,229,4/8/2020
Maharashtra,875,79,64,1018,4/8/2020
Manipur,2,0,0,2,4/8/2020
Mizoram,1,0,0,1,4/8/2020
Odisha,39,2,1,42,4/8/2020
Puducherry,4,1,0,5,4/8/2020
Punjab,80,4,7,91,4/8/2020
Rajasthan,304,21,3,328,4/8/2020
Tamil Nadu,664,19,7,690,4/8/2020
Telangana,385,35,7,427,4/8/2020
Tripura,1,0,0,1,4/8/2020
Uttar Pradesh,314,26,3,343,4/8/2020
Uttarakhand,26,5,0,31,4/8/2020
West Bengal,81,13,5,99,4/8/2020
Andaman and Nicobar Islands,11,0,0,11,4/9/2020
Andhra Pradesh,338,6,4,348,4/9/2020
Arunachal Pradesh,1,0,0,1,4/9/2020
Assam,28,0,0,28,4/9/2020
Bihar,38,0,1,39,4/9/2020
Chandigarh,11,7,0,18,4/9/2020
Chhattisgarh,1,9,0,10,4/9/2020
Delhi,639,21,9,669,4/9/2020
Goa,7,0,0,7,4/9/2020
Gujarat,138,25,16,179,4/9/2020
Haryana,137,29,3,169,4/9/2020
Himachal Pradesh,15,2,1,18,4/9/2020
Jammu and Kashmir,150,4,4,158,4/9/2020
Jharkhand,13,0,0,13,4/9/2020
Karnataka,148,28,5,181,4/9/2020
Kerala,260,83,2,345,4/9/2020
Ladakh,4,10,0,14,4/9/2020
Madhya Pradesh,243,0,16,259,4/9/2020
Maharashtra,946,117,72,1135,4/9/2020
Manipur,1,1,0,2,4/9/2020
Mizoram,1,0,0,1,4/9/2020
Odisha,39,2,1,42,4/9/2020
Puducherry,4,1,0,5,4/9/2020
Punjab,89,4,8,101,4/9/2020
Rajasthan,359,21,3,383,4/9/2020
Tamil Nadu,709,21,8,738,4/9/2020
Telangana,400,35,7,442,4/9/2020
Tripura,1,0,0,1,4/9/2020
Uttar Pradesh,375,31,4,410,4/9/2020
Uttarakhand,30,5,0,35,4/9/2020
West Bengal,82,16,5,103,4/9/2020
Andaman and Nicobar Islands,11,0,0,11,4/10/2020
Andhra Pradesh,350,7,6,363,4/10/2020
Arunachal Pradesh,1,0,0,1,4/10/2020
Assam,29,0,0,29,4/10/2020
Bihar,59,0,1,60,4/10/2020
Chandigarh,11,7,0,18,4/10/2020
Chhattisgarh,1,9,0,10,4/10/2020
Delhi,860,25,13,898,4/10/2020
Goa,6,1,0,7,4/10/2020
Gujarat,198,26,17,241,4/10/2020
Haryana,137,29,3,169,4/10/2020
Himachal Pradesh,21,6,1,28,4/10/2020
Jammu and Kashmir,174,6,4,184,4/10/2020
Jharkhand,12,0,1,13,4/10/2020
Karnataka,161,30,6,197,4/10/2020
Kerala,259,96,2,357,4/10/2020
Ladakh,5,10,0,15,4/10/2020
Madhya Pradesh,243,0,16,259,4/10/2020
Maharashtra,1142,125,97,1364,4/10/2020
Manipur,1,1,0,2,4/10/2020
Mizoram,1,0,0,1,4/10/2020
Odisha,41,2,1,44,4/10/2020
Puducherry,4,1,0,5,4/10/2020
Punjab,116,5,11,132,4/10/2020
Rajasthan,439,21,3,463,4/10/2020
Tamil Nadu,805,21,8,834,4/10/2020
Telangana,431,35,7,473,4/10/2020
Tripura,1,0,0,1,4/10/2020
Uttar Pradesh,395,32,4,431,4/10/2020
Uttarakhand,30,5,0,35,4/10/2020
West Bengal,95,16,5,116,4/10/2020
Andaman and Nicobar Islands,11,0,0,11,4/11/2020
Andhra Pradesh,364,11,6,381,4/11/2020
Arunachal Pradesh,1,0,0,1,4/11/2020
Assam,28,0,1,29,4/11/2020
Bihar,59,0,1,60,4/11/2020
Chandigarh,11,7,0,18,4/11/2020
Chhattisgarh,9,9,0,18,4/11/2020
Delhi,864,25,14,903,4/11/2020
Goa,6,1,0,7,4/11/2020
Gujarat,258,31,19,308,4/11/2020
Haryana,145,29,3,177,4/11/2020
Himachal Pradesh,21,6,1,28,4/11/2020
Jammu and Kashmir,197,6,4,207,4/11/2020
Jharkhand,16,0,1,17,4/11/2020
Karnataka,171,37,6,214,4/11/2020
Kerala,239,123,2,364,4/11/2020
Ladakh,5,10,0,15,4/11/2020
Madhya Pradesh,410,0,33,443,4/11/2020
Maharashtra,1276,188,110,1574,4/11/2020
Manipur,1,1,0,2,4/11/2020
Mizoram,1,0,0,1,4/11/2020
Odisha,45,2,1,48,4/11/2020
Puducherry,6,1,0,7,4/11/2020
Punjab,116,5,11,132,4/11/2020
Rajasthan,529,21,3,553,4/11/2020
Tamil Nadu,859,44,8,911,4/11/2020
Telangana,452,43,9,504,4/11/2020
Tripura,2,0,0,2,4/11/2020
Uttar Pradesh,397,32,4,433,4/11/2020
Uttarakhand,30,5,0,35,4/11/2020
West Bengal,105,16,5,126,4/11/2020
Andaman and Nicobar Islands,1,10,0,11,4/12/2020
Andhra Pradesh,364,11,6,381,4/12/2020
Arunachal Pradesh,1,0,0,1,4/12/2020
Assam,28,0,1,29,4/12/2020
Bihar,44,19,1,64,4/12/2020
Chandigarh,12,7,0,19,4/12/2020
Chhattisgarh,15,10,0,25,4/12/2020
Delhi,1025,25,19,1069,4/12/2020
Goa,2,5,0,7,4/12/2020
Gujarat,366,44,22,432,4/12/2020
Haryana,153,29,3,185,4/12/2020
Himachal Pradesh,25,6,1,32,4/12/2020
Jammu and Kashmir,214,6,4,224,4/12/2020
Jharkhand,16,0,1,17,4/12/2020
Karnataka,183,37,6,226,4/12/2020
Kerala,230,142,2,374,4/12/2020
Ladakh,5,10,0,15,4/12/2020
Madhya Pradesh,528,0,36,564,4/12/2020
Maharashtra,1426,208,127,1761,4/12/2020
Manipur,1,1,0,2,4/12/2020
Mizoram,1,0,0,1,4/12/2020
Odisha,41,12,1,54,4/12/2020
Puducherry,6,1,0,7,4/12/2020
Punjab,135,5,11,151,4/12/2020
